threshold,entropy_values,mean_entropy,median_entropy,q25_entropy,simulation_time
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,0.0,0.0,1.7447988986968994
10,"[np.float64(7.015519804568489), np.float64(7.25606184641787), np.float64(7.406327802555098), np.float64(6.458871418770426), np.float64(6.082579997305053), np.float64(7.057724630901519), np.float64(6.890068195532648), np.float64(6.265878603043392), np.float64(6.948952243456387), np.float64(6.879833539896942), np.float64(6.435847372240164)]",6.790696859517089,6.890068195532648,6.447359395505295,2.225349187850952
15,"[np.float64(7.623553410556831), np.float64(7.433467314621687), np.float64(7.695971002361048), np.float64(7.343388707529596), np.float64(7.802198960700235), np.float64(7.235042013178363), np.float64(7.485718781768026), np.float64(7.334834517107419), np.float64(7.955490161600402), np.float64(7.729711664273592), np.float64(7.859467171372597)]",7.590803973188164,7.623553410556831,7.388428011075641,2.19425106048584
20,"[np.float64(7.750400551608881), np.float64(8.166913150086724), np.float64(7.995052586492935), np.float64(7.7801458718186725), np.float64(7.649261456750739), np.float64(7.362002283102239), np.float64(8.04273227799168), np.float64(7.5820334342815805), np.float64(7.679016014910143), np.float64(7.718762362268418), np.float64(7.043153039226046)]",7.706315729867097,7.718762362268418,7.61564744551616,2.127592086791992
25,"[np.float64(8.570304903219567), np.float64(8.057164616125874), np.float64(8.375495579317477), np.float64(7.812025093390197), np.float64(0.0), np.float64(8.249183823859454), np.float64(8.563492812180781), np.float64(7.902757932224984), np.float64(7.673466525995593), np.float64(8.326537677165186), np.float64(8.362686382564236)]",7.444828667822123,8.249183823859454,7.85739151280759,2.2049522399902344
30,"[np.float64(8.619450236274727), np.float64(0.0), np.float64(8.254780970092558), np.float64(8.527836857081242), np.float64(8.312980165972858), np.float64(8.279145977634576), np.float64(7.976301459021931), np.float64(8.317473586227717), np.float64(8.388753656081443), np.float64(8.827676781114823), np.float64(8.141633301174373)]",7.604184817334204,8.312980165972858,8.198207135633465,2.133017063140869
35,"[np.float64(8.519038522159438), np.float64(8.583301531286589), np.float64(8.536169267146386), np.float64(8.431631430922966), np.float64(8.699100185689892), np.float64(8.491070129826577), np.float64(8.92537410753898), np.float64(0.0), np.float64(9.011589225208976), np.float64(8.4125372445243), np.float64(8.816812691503337)]",7.856965848709768,8.536169267146386,8.461350780374772,2.1742477416992188
40,"[np.float64(8.875302203960128), np.float64(8.844986428850278), np.float64(8.69259619239523), np.float64(9.206388077073248), np.float64(8.686971725350267), np.float64(8.577485183474337), np.float64(8.383843249278785), np.float64(9.111973870143448), np.float64(8.901407854673257), np.float64(8.5999315223171), np.float64(8.478638576438785)]",8.75995680763226,8.69259619239523,8.588708352895718,2.15568208694458
45,"[np.float64(0.0), np.float64(9.221414112376273), np.float64(8.723172490170363), np.float64(8.977427154091242), np.float64(8.722167084097228), np.float64(9.233315778540364), np.float64(8.927307463278524), np.float64(8.832842450998738), np.float64(0.0), np.float64(8.831763912813518), np.float64(8.83392140153745)]",7.3003028952639735,8.832842450998738,8.722669787133796,2.0509591102600098
50,"[np.float64(9.393427586054043), np.float64(9.085098443139673), np.float64(8.764212379796696), np.float64(9.403229736169664), np.float64(9.046464220621392), np.float64(9.335020193362544), np.float64(9.290804713852546), np.float64(9.424385166307772), np.float64(8.69972766935784), np.float64(9.023500315614), np.float64(8.655173664813914)]",9.101913099008188,9.085098443139673,8.893856347705348,2.311321973800659
