threshold,mean_entropy,median_entropy,q25_entropy,simulation_time
5,0.0,0.0,0.0,1.7192394733428955
10,6.413529070493065,6.7329123569889004,6.365253450738171,2.225616192817688
15,7.081511015033827,7.439457807943219,7.106435038894463,2.2353478193283083
20,7.632312923346889,7.8347188479238605,7.650245344982709,2.1980553150177
25,7.82092881998511,8.112328880430802,7.934029051636146,2.203003001213074
30,7.733449542555692,8.419818370131583,8.20424825911644,2.1513068199157717
35,8.173225823266474,8.619470077287552,8.473118611761429,2.1938530921936037
40,8.454559822082482,8.72844000507955,8.589380991203823,2.164742422103882
45,8.65851060972364,8.985993046442236,8.848081295128162,2.16909339427948
50,8.858167840477504,9.114644834916596,8.952226709228402,2.1545886993408203
55,9.038223077814672,9.193433038257375,9.052861276645709,2.1870075464248657
60,9.047200504092414,9.287711206550814,9.128673738583444,2.1368228912353517
65,8.840857916171,9.351950319292902,9.174169414166817,2.1922839164733885
70,9.02556470537258,9.354034313610901,9.175704586881302,2.1356695175170897
75,9.139732612326542,9.43127494038136,9.225453659499587,2.13671190738678
80,9.057070120320963,9.388463151026018,9.224790966368944,2.1790613174438476
85,9.108072504850764,9.394751267448177,9.114207659448574,2.206159472465515
90,9.172321466043131,9.380806429663426,9.092327505266882,2.1763234376907348
95,8.834036905067837,9.221009608925621,8.917450638081448,2.2100707054138184
100,8.519974722593973,9.08614978907526,8.15460010421672,2.2073307275772094
