threshold,mean_entropy,median_entropy,q25_entropy,simulation_time
5,0.0,0.0,0.0,15.031020784378052
10,6.830277592916256,6.86523653225257,6.608570868715508,19.77525153160095
15,7.393463926791973,7.516312677889771,7.259491629020248,17.721647715568544
20,7.959493723061748,7.9712743017175,7.776957520431456,17.31478669643402
25,8.178665265446874,8.250429869425881,8.056531954501386,19.10258309841156
30,8.577858608119053,8.556150614952612,8.394672490995667,17.38868029117584
35,8.78742351277375,8.78911891133382,8.647590897672016,17.174935150146485
40,8.825748954260531,8.990457840686645,8.825952138973491,16.874479389190675
45,9.138692415233496,9.121681844408432,8.987126137779997,16.860843539237976
50,9.222985758988742,9.310560005164744,9.150281044120437,19.417097306251527
55,9.244639117299224,9.414481110349861,9.28287850243122,16.01362133026123
60,9.335937152183046,9.477111332178708,9.353372711863106,16.55926034450531
65,9.480390843675636,9.552818517319164,9.40403834282986,16.06185338497162
70,9.623728001402325,9.62561488131339,9.497639798905647,16.92657678127289
75,9.587087242670348,9.612329469403399,9.44162234070222,16.056112313270567
80,9.614586694916914,9.658663004771737,9.440187449038708,15.867157459259033
85,9.486430746476717,9.602398091211526,9.30534477564607,16.061813735961913
90,9.510499212278262,9.650461136869362,9.251319234293733,16.185805130004884
95,9.476716056271567,9.570939639333414,9.204838776350417,15.722532415390015
100,9.406647317703213,9.429154654059829,9.072901252780367,16.69925045967102
